dataset,model,coord_mode,null_kind,k_frac,n_seeds,orig_mean,null_mean,gap,ci_lo,ci_hi,raw_p,holm_p,bh_p,sig_holm,sig_bh
stl10,r50,geo_m,mean of 5 permutations,0.75,10,0.9759125471115112,0.97562504529953,0.00028750181198119453,-0.0008114830546855667,0.0013864866786479557,0.24609375,1.0,0.328125,False,False
stl10,r50,geo_m,mean of 5 permutations,0.8,10,0.975637549161911,0.9755350482463836,0.00010250091552734819,-0.0013803784960432555,0.0015853803270979518,0.4228515625,1.0,0.528564453125,False,False
stl10,r50,geo_m,mean of 5 permutations,0.85,10,0.9751500487327576,0.9753500509262085,-0.00020000219345094327,-0.001267063958970629,0.0008670595720687423,0.615234375,1.0,0.68359375,False,False
stl10,r50,geo_m,mean of 5 permutations,0.9,10,0.9735875606536866,0.9751850461959839,-0.0015974855422973722,-0.0032685327948244625,7.356171022971812e-05,0.9814453125,1.0,0.9814453125,False,False
stl10,r50,geo_m,mean of 5 permutations,0.95,10,0.9738625466823578,0.9748125505447387,-0.0009500038623809881,-0.0023452551932908188,0.00044524746852884264,0.947265625,1.0,0.9814453125,False,False
stl10,r50,geo_m,mean of 5 permutations,1.0,10,0.9745000600814819,0.9745000600814819,0.0,0.0,0.0,0.5,1.0,0.5882352941176471,False,False
stl10,vit,geo_r,mean of 5 permutations,0.05,10,0.90250004529953,0.9054875433444977,-0.0029874980449676515,-0.012499565223279892,0.00652456913334459,0.65234375,1.0,0.9755859375,False,False
stl10,vit,geo_r,mean of 5 permutations,0.1,10,0.9564750552177429,0.9577650451660155,-0.0012899899482726961,-0.0050190931405648875,0.0024391132440194953,0.7841796875,1.0,0.9755859375,False,False
stl10,vit,geo_r,mean of 5 permutations,0.15,10,0.9709375441074372,0.9724200403690337,-0.0014824962615966665,-0.0037018625228946913,0.0007368699997013584,0.8837890625,1.0,0.9755859375,False,False
stl10,vit,geo_r,mean of 5 permutations,0.2,10,0.977750051021576,0.9780675435066224,-0.0003174924850464,-0.0017778120046547867,0.0011428270345619869,0.5,1.0,0.9755859375,False,False
stl10,vit,geo_r,mean of 5 permutations,0.25,10,0.9806125462055206,0.9815425491333007,-0.0009300029277801491,-0.0017893725078575787,-7.063334770271955e-05,0.9755859375,1.0,0.9755859375,False,False
stl10,vit,geo_r,mean of 5 permutations,0.3,10,0.9827250480651856,0.9833000469207764,-0.0005749988555908247,-0.0012806002818032632,0.00013060257062161372,0.919921875,1.0,0.9755859375,False,False
stl10,vit,geo_r,mean of 5 permutations,0.35,10,0.9845625460147858,0.9843775463104247,0.00018499970436096634,-0.0006653192823253419,0.0010353186910472747,0.2158203125,1.0,0.9755859375,False,False
stl10,vit,geo_r,mean of 5 permutations,0.4,10,0.9859000504016876,0.9855775511264803,0.00032249927520751066,-0.00017671821028358376,0.0008217167606986051,0.0966796875,1.0,0.9755859375,False,False
stl10,vit,geo_r,mean of 5 permutations,0.45,10,0.9860875487327576,0.9861250472068785,-3.749847412110041e-05,-0.0005350678269855968,0.000460070878743396,0.5390625,1.0,0.9755859375,False,False
